,RNA.CST,RNA.HYP,RNA.RN,RNA.DP,RNA.MED,RNA.Other
Peli2,0.0110669708828195,0.553786055314902,0.0781909137211186,0.296330782146027,0.37242205037986,0.449860592554096
Tmem260,0.391769767971663,0.545427018447216,0.301487655737598,0.366148241491382,0.469009696098003,0.429760900537008
Gm49519,0.0341097445927916,0.0427693237422947,0.0177412115660798,0.0133114284085084,0.0189715277643359,0.0183336408020392
4930572G02Rik,0.00362367071036436,0.00242590674329297,0,0.00127364127278082,0.00356438684668464,0
Gm49120,0.00028871981844348,0,0,0,0,0
Otx2os1,0.0155202374302224,0.00238199138290797,0.0108071223094219,0.0233315933959564,0.0249041930722666,0.00797102140204531
Gm534,0.00633263608231159,0,0,0.00101238433796458,0.00188037940293877,0.00492011441775456
4933429O19Rik,0.00144001356006033,0,0,0,0.000308954090072534,0.00230178627822335
Exoc5,1.00202139346883,0.98504684555543,0.814300351100456,0.924694398739435,0.915643152791085,0.892257217888824
Ap5m1,0.235111552413448,0.194208176414152,0.254753098989035,0.249915256708034,0.21754163023227,0.189314107471736
Naa30,0.166226593301502,0.143602715277541,0.139885344126544,0.145482282331955,0.158194451706683,0.153071581176957
Gm48935,0.00241729789782028,0.0032378289331956,0.00126077743754755,0.00396944003562163,0.00160414378295207,0.00796492075579793
ccdc198,0.0198722836018482,0.0120796922551591,0.0226244274951976,0.0307457541370101,0.0207963685833736,0.0284038564073969
Slc35f4,2.83786447409597,2.21959048876171,2.29051758602341,3.29168361039117,1.95714384536774,1.66044164893738
Gm48940,0.00949185612337897,0.00532989735767356,0.0219984647125156,0.0171677708335998,0.00620770191943235,0.00864299508195533
Armh4,0.334078963255672,0.272046432860184,0.855384894861273,0.746079338795532,0.643259070133727,0.571866858716033
Gm36146,0.0428637076935027,0.0600939802249024,0.172381134131839,0.142082093087157,0.10717997725112,0.115119407424655
Olfr727,0.00279317600553046,0.00505102545918872,0,0,0.00185704784450551,0.00149668970413459
Olfr729,0.00033724670166953,0,0,0.00204386441548411,0.00133941118941334,0
Olfr731,0.0029676626129619,0.0103993037087397,0.00845388292433062,0.0045621227842192,0.00652192004036581,0.00678695263242611
Olfr732,9.98956744301039e-05,0.00239323365834244,0.000810639021065833,0,0,0
Olfr734,0,0,0,0.000359173418408586,0,0
Olfr735,0.00033933768421707,0,0.00164912427942399,0.000355119260766701,0.00039837227561026,0
Olfr736,0.000235725859142081,0,0.00130092808209377,0.00125490290565238,0.000304128575114264,0
Olfr739,9.67156524998868e-05,0,0,0,0,0
Olfr742,0.00525150860979285,0.0102616883134847,0.00296430700965755,0.00356267059494991,0.00894710337423146,0.00349401642696535
Olfr747,0.000285378612589412,0,0.000380922574667872,0,0.000885004980674597,0
Olfr749,0,0,0,0,6.45870990034069e-05,0
Ttc5,0.235586928829979,0.456750070876874,0.30535516212384,0.279538402736728,0.290749798927396,0.319816935220113
Ccnb1ip1,0.0818148877845694,0.22954035416744,0.21061020403968,0.357128360573363,0.214939464509645,0.209614058839947
Parp2,0.101948854514428,0.106874753839085,0.0805499369316539,0.0734183409571894,0.0839268227488944,0.101824317389253
Tep1,0.0178305102597164,0.0549032657684589,0.0407919590373963,0.027280639969252,0.0466180176555343,0.0471035952846794
Gm26782,0.0450533969751225,0.582135649950868,0.413015405372297,0.515526405092538,0.506542908375234,0.535773232347947
