,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ythdc2,0.255036877,0.116266889,0.509,0.502,1
Adat2,0.56211575,0.116242255,0.014,0.016,1
Ano6,0.026728146,0.116241899,0.627,0.616,1
Nrip3,0.255148659,0.116205197,0.363,0.356,1
Ehd4,0.720414578,0.116172494,0.101,0.099,1
Zfp516,0.851855247,0.116161107,0.26,0.262,1
Rabgap1l,1.04E-05,0.116148985,0.927,0.929,0.27536028
Rapgef4os1,0.055156126,0.11614093,0.653,0.636,1
Glce,0.319595135,0.116088473,0.354,0.346,1
Gm43660,0.134270648,0.115982113,0.263,0.247,1
Bdp1,0.011744839,0.115969156,0.542,0.514,1
Mbd2,0.149498064,0.115918238,0.456,0.439,1
Ccdc14,0.7011884,0.115817571,0.052,0.055,1
Zfp112,0.742315202,0.115794108,0.274,0.276,1
Stk3,0.028747148,0.115765037,0.551,0.533,1
Vta1,0.536155861,0.115739343,0.332,0.33,1
Usp38,0.203724544,0.115703079,0.194,0.18,1
Sh3pxd2a,0.482507196,0.115671538,0.342,0.34,1
Spred3,0.937372917,0.115659219,0.214,0.219,1
Cir1,0.276584287,0.115658131,0.259,0.248,1
Gm4681,0.777804825,0.115651597,0.037,0.039,1
Arhgap18,0.031272472,0.115603424,0.65,0.644,1
Spag6l,0.514530541,0.115578672,0.123,0.119,1
Pcdha4,0.675350369,0.115532065,0.04,0.038,1
Galnt14,0.588106844,0.115518425,0.339,0.337,1
Slc6a6,0.046200883,0.115497003,0.53,0.51,1
Slc9a7,0.012942141,0.115465043,0.631,0.609,1
Vps45,0.434830644,0.115450294,0.251,0.245,1
Vangl1,0.699287296,0.115435992,0.067,0.065,1
Hells,0.353789994,0.115361169,0.176,0.168,1
Adap1,0.096425243,0.115359264,0.552,0.542,1
Tctex1d2,0.952679867,0.115352747,0.17,0.174,1
Ncoa7,0.000557519,0.115312918,0.826,0.811,1
Gm50023,0.926027845,0.115246102,0.012,0.011,1
Npm2,0.896060116,0.115241719,0.023,0.024,1
Usp15,0.003084029,0.115238174,0.736,0.708,1
1700034H15Rik,0.347394753,0.115229895,0.046,0.052,1
Oprd1,0.71359779,0.115127244,0.08,0.078,1
4930488L21Rik,0.21563289,0.115095907,0.26,0.245,1
