,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Trim66,0.031936138,0.422091123,0.065,0.054,1
Grb10,3.92E-05,0.421925017,0.183,0.151,1
Bcas3os2,0.291582771,0.421923745,0.054,0.05,1
Spp1,0.060786712,0.421874807,0.013,0.008,1
Gm47359,0.014014042,0.421605145,0.063,0.05,1
Gm16008,0.044027975,0.421432525,0.028,0.021,1
Gm42937,0.08470603,0.421326674,0.052,0.044,1
Tex15,0.242893048,0.421200021,0.056,0.05,1
Slc23a4,0.183039086,0.420567504,0.028,0.023,1
Klhl35,0.721822293,0.420491516,0.016,0.017,1
Gm28448,0.129009351,0.420056118,0.034,0.028,1
Cybrd1,0.085218833,0.419989728,0.033,0.026,1
Gm44899,0.034171067,0.419784066,0.138,0.125,1
Bcl6,2.38E-45,0.759589019,0.528,0.399,6.33E-41
Pde6a,2.39E-05,0.419014173,0.337,0.307,0.635080366
Gm29587,4.05E-05,0.418518903,0.238,0.206,1
Nectin1,0.011791215,0.418057397,0.097,0.082,1
Olfr1330,0.036711617,0.417574293,0.016,0.01,1
Bcl9,7.57E-12,0.472664415,0.412,0.358,2.01E-07
Bclaf3,8.29E-08,-0.183732119,0.366,0.442,0.002204911
Matn2,8.02E-06,0.416843411,0.323,0.293,0.213135817
Gm14286,0.075268491,0.416495046,0.045,0.037,1
Bcr,6.97E-10,0.256768145,0.675,0.669,1.85E-05
1700016K05Rik,0.427119143,0.415390956,0.025,0.022,1
Gm12395,0.880366544,0.415216255,0.012,0.012,1
Shroom4,0.132212371,0.415178321,0.086,0.078,1
Bcs1l,1.66E-11,-0.277500498,0.261,0.34,4.41E-07
Cercam,0.074361947,0.415047218,0.041,0.033,1
Gm15893,0.250504104,0.414908719,0.022,0.018,1
Kat2b,3.11E-05,0.414809257,0.208,0.175,0.826603294
Gm36560,0.632876398,0.414772396,0.044,0.042,1
Lrrc8dos,0.165314384,0.414722009,0.068,0.06,1
Gpr160,0.708965604,0.414389364,0.014,0.013,1
Atp13a5,0.010017642,0.414283512,0.161,0.143,1
Creb3l2,0.009688616,0.414190798,0.123,0.106,1
Dact2,0.999434707,0.414072548,0.037,0.037,1
Aldoa.1,0.839577852,0.413705614,0.034,0.036,1
Gm49906,0.109146519,0.41359454,0.05,0.042,1
Orc1,1.72E-05,0.413298293,0.191,0.157,0.458396215
Ints14,0.00010326,0.41326368,0.251,0.221,1
Vmn2r57,0.11914895,0.412840296,0.058,0.05,1
Bdnf,1.96E-13,-0.35500542,0.211,0.291,5.20E-09
A930028N01Rik,0.084733118,0.41206586,0.086,0.076,1
