812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Dph5,0.975483444,-0.346161514,0.2,0.189,1,0
Taf6,0.18051192,-0.345868312,0.297,0.303,1,0
Pramef8,0.509863419,-0.345847178,0.05,0.056,1,-0.346458275
Ndufaf4,0.180522701,-0.345770334,0.435,0.415,1,-0.806364581
Trmt6,0.557472079,-0.345756014,0.32,0.301,1,0
Mettl15,0.250471566,-0.345677533,0.2,0.211,1,0.412944671
AI854703,0.401739237,-0.345655575,0.056,0.064,1,-0.933988636
Zcwpw1,0.879004374,-0.345491569,0.091,0.09,1,-0.397458262
Tssc4,0.508071125,-0.345404005,0.086,0.076,1,0.370253735
A730056A06Rik,0.245491796,-0.345254475,0.196,0.208,1,0
Lrwd1,0.575208508,-0.344905468,0.069,0.062,1,0.645204993
Crym,0.000535265,-0.344858491,0.612,0.603,1,0
Chd6,6.41E-16,-0.344364591,0.869,0.89,1.39E-11,0
Nrn1,0.000961699,-0.344258647,0.352,0.403,1,-1.191134621
Tug1,0.646781803,-0.344225442,0.181,0.18,1,0
Zdhhc9,0.799206763,-0.344167028,0.245,0.233,1,0
Nme2,0.926844557,-0.344140245,0.142,0.135,1,0
Wwtr1,0.112702457,-0.34391603,0.27,0.284,1,-1.021380314
Pls1,8.12E-06,-0.343828656,0.607,0.635,0.176202344,0
B3gntl1,0.888435261,-0.343654538,0.223,0.214,1,0.455974141
Trpc4,2.71E-11,-0.343576817,0.799,0.841,5.88E-07,-0.362277695
Abhd18,7.90E-09,-0.343571338,0.704,0.732,0.000171495,0
Gprin1,0.825003424,-0.343498355,0.068,0.064,1,0
Rps3,0.544846556,-0.343404719,0.065,0.057,1,0
0610040F04Rik,0.649328441,-0.34314908,0.217,0.214,1,-0.585155167
Tfg,0.285223695,-0.342914612,0.318,0.31,1,-0.563329374
Zfp607b,0.335330397,-0.342887834,0.088,0.074,1,0.479436674
Tor1aip2,0.012608642,-0.342863643,0.551,0.537,1,0
Rps7,0.656659775,-0.342850039,0.136,0.124,1,0
Mpdz,2.01E-09,-0.342787931,0.725,0.77,4.36E-05,0
Tasor2,8.74E-06,-0.342673053,0.701,0.699,0.18980959,0
Atp6v0c,0.710102993,-0.342510406,0.335,0.313,1,0.439788166
Mfsd4b4,0.566104625,-0.342506578,0.048,0.053,1,0
Naa60,0.833069113,-0.342475441,0.163,0.16,1,0
Ilk,0.760371831,-0.342390247,0.091,0.092,1,0
Tmem59,0.193087421,-0.34206216,0.366,0.357,1,0
Pex13,0.336478284,-0.342058941,0.377,0.36,1,-0.41120316
Cdk5r1,0.437968556,-0.341989387,0.221,0.224,1,0
Mphosph6,0.62007555,-0.341946165,0.101,0.105,1,0
Fads2,0.653153816,-0.341944139,0.093,0.096,1,0
Smap1,4.74E-11,-0.341823308,0.787,0.834,1.03E-06,-0.395751
Abca7,0.072629655,-0.341699541,0.32,0.335,1,-0.44094398
Gabrb3,2.43E-45,-0.341228513,0.996,0.998,5.27E-41,0
Slc25a27,0.001226526,-0.341033789,0.642,0.631,1,0
Otub2,0.422008799,-0.340602874,0.088,0.076,1,0.609490833
Pgrmc1,0.795919569,-0.340350457,0.139,0.129,1,0.638610065
Tma7,0.950105991,-0.339921941,0.244,0.225,1,0
Irak1,0.906172406,-0.339901508,0.169,0.16,1,0.475975306
Pdpr,0.067178715,-0.339770014,0.431,0.428,1,0
Nop9,0.337564344,-0.339754553,0.113,0.096,1,0
Serbp1,0.000819933,-0.339551655,0.618,0.601,1,0
Nifk,0.813507113,-0.339408577,0.114,0.107,1,-0.341478259
Carnmt1,0.110269794,-0.338955619,0.4,0.395,1,0
Rplp2,0.834228804,-0.338937119,0.144,0.142,1,0
Ccz1,0.036457548,-0.338781508,0.596,0.572,1,0
Dcaf4,0.313194289,-0.338356475,0.095,0.106,1,0.359003286
Sppl2a,0.028360002,-0.337826099,0.501,0.496,1,0
Ptov1,0.603251324,-0.337771558,0.174,0.157,1,0.376818984
Rps25,0.182538205,-0.337452465,0.095,0.076,1,0
Ccdc47,0.020257021,-0.337442736,0.555,0.531,1,0
Nupl2,0.489733614,-0.337251006,0.166,0.172,1,0.613336796
Actr3b,2.83E-11,-0.337171297,0.73,0.773,6.14E-07,0
Tm7sf3,0.879216485,-0.337003214,0.2,0.192,1,0.720491087
Bex2,0.808676573,-0.336616073,0.236,0.224,1,0
Zbtb8os,0.830374944,-0.336450677,0.112,0.105,1,0
Mrpl38,0.176689252,-0.336374002,0.334,0.33,1,0.402695989
Slc25a17,0.917042353,-0.336055492,0.218,0.207,1,0
Eri2,0.650932847,-0.335711618,0.155,0.156,1,0
Sgcb,0.448657579,-0.335708832,0.194,0.17,1,0
Srsf7,7.70E-05,-0.33562836,0.675,0.673,1,-0.432389661
Mlst8,0.891475583,-0.335444231,0.127,0.124,1,0
Dpysl3,0.01140847,-0.335357568,0.277,0.315,1,0.74905492
Fam222a,0.042515298,-0.335237937,0.079,0.103,1,-0.391770198
Rpl7a,0.431001145,-0.335205616,0.103,0.09,1,0
Tm7sf2,0.702794834,-0.335134536,0.057,0.06,1,0
Cables2,0.576193566,-0.334862936,0.057,0.062,1,0
Ldb3,0.617514633,-0.334513982,0.126,0.115,1,0
Tef,0.146263107,-0.334396247,0.521,0.485,1,0
Pcif1,0.767351661,-0.334326694,0.107,0.1,1,0.330940721
Ndufa10,0.018423505,-0.334320911,0.568,0.548,1,0
Lpcat2,0.674252756,-0.334319288,0.191,0.173,1,0
Lrrn2,3.76E-05,-0.333554596,0.505,0.559,0.815683664,0
Uri1,0.000208175,-0.333426176,0.632,0.627,1,0
Snx14,0.023340594,-0.333302084,0.544,0.523,1,0
2310033P09Rik,0.740286873,-0.332967324,0.228,0.207,1,0
Dennd6a,4.92E-06,-0.332923986,0.654,0.657,0.106763641,0
Fbxl4,0.469715505,-0.332785753,0.21,0.213,1,0.484055004
Caskin1,0.516302846,-0.332774598,0.254,0.248,1,0
Rprd2,0.002327113,-0.332483232,0.528,0.542,1,0
Ube2a,0.525676055,-0.332183851,0.078,0.084,1,0
Catspere2,0.00097067,-0.332129194,0.609,0.605,1,0
Dlc1,1.39E-15,-0.331846821,0.68,0.771,3.01E-11,0
Eif1b,0.583325086,-0.331731075,0.145,0.149,1,0
L2hgdh,0.713216955,-0.331344042,0.194,0.19,1,0
Tspan3,0.152176438,-0.331314783,0.363,0.361,1,0
Ttc33,0.605391065,-0.331312277,0.143,0.144,1,0
Cwc15,0.177120754,-0.33129416,0.234,0.248,1,0
B4galt7,0.698451813,-0.331071371,0.095,0.088,1,0
Psma6,0.875604587,-0.330628401,0.177,0.168,1,0.511013383
Gtf2e2,0.904912199,-0.330579107,0.253,0.24,1,0
Gopc,0.210281222,-0.330569626,0.359,0.354,1,0
Psmf1,0.866842511,-0.330367442,0.276,0.252,1,0
Slc38a6,0.003843779,-0.330342377,0.563,0.557,1,0
Mfsd14b,0.833457432,-0.330162663,0.275,0.248,1,0
Srp14,0.977557341,-0.32981611,0.231,0.215,1,0
Zfp93,0.793446957,-0.329646343,0.057,0.059,1,1.066101118
Cdca7l,0.634599202,-0.329616648,0.083,0.087,1,0
Nufip1,0.581336303,-0.329449771,0.229,0.226,1,0
Ssbp1,0.043511193,-0.329329103,0.423,0.426,1,0
Fkbp2,0.557017814,-0.329305994,0.377,0.347,1,0
Abraxas2,0.476424023,-0.328605893,0.26,0.257,1,0
Rusc1,0.266301285,-0.328413958,0.274,0.279,1,-0.553575842
Mto1,0.826577002,-0.328126068,0.264,0.248,1,0.452371349
Hinfp,0.929149118,-0.328122744,0.191,0.182,1,0
Peg13,0.936992881,-0.327586126,0.054,0.054,1,0
Cox5b,0.725868584,-0.327583113,0.105,0.098,1,0
Pgd,0.659055532,-0.327541472,0.075,0.068,1,0.332326539
Psma4,0.639172612,-0.327413767,0.16,0.161,1,0
Sulf2,1.20E-10,-0.327406516,0.732,0.793,2.60E-06,0
Kifc5b,0.113921418,-0.326961497,0.036,0.05,1,0
Gins2,0.816274059,-0.326950355,0.072,0.073,1,0
Plgrkt,0.443643318,-0.326915051,0.282,0.274,1,0
Rnf168,0.355810011,-0.326877099,0.28,0.279,1,0
Sema6d,6.90E-22,-0.326744787,0.953,0.977,1.50E-17,-0.680918486
Herc3,2.65E-18,-0.326539089,0.837,0.895,5.76E-14,-0.435905608
Pnldc1,0.734579651,-0.326372072,0.069,0.072,1,-0.573749273
Dnm1l,1.20E-08,-0.326214176,0.84,0.838,0.000260534,0
Mdh2,0.219108561,-0.325864411,0.328,0.327,1,0
Bbs2,0.805016447,-0.325589929,0.145,0.144,1,0
Rit2,2.52E-13,-0.325551365,0.841,0.872,5.47E-09,0
Tmem168,0.421637278,-0.325201836,0.242,0.243,1,0
Nlgn1,1.27E-64,-0.324879043,1,1,2.77E-60,0
Cyb5a,0.072494214,-0.324873417,0.369,0.376,1,-0.654605115
Far1,3.02E-07,-0.324852068,0.759,0.77,0.006551453,-0.593888728
Ppie,0.862686789,-0.324802628,0.07,0.067,1,0.340479436
Dhrs7,0.745979652,-0.324783048,0.082,0.076,1,0
Sod1,0.93419396,-0.324489132,0.179,0.169,1,0
Map1lc3a,0.863199143,-0.324409415,0.145,0.137,1,0
Ephb6,0.896260684,-0.324290073,0.245,0.233,1,0
Celsr2,0.769858996,-0.324024154,0.2,0.193,1,0
Fbxw7,1.10E-08,-0.324004659,0.845,0.825,0.000239668,-0.347437736
Rhou,0.029863516,-0.32378702,0.332,0.351,1,0.653385607
Mttp,0.469759885,-0.32367329,0.341,0.325,1,0.655147094
Pcmt1,2.51E-05,-0.323588896,0.679,0.694,0.545777578,0
Dstyk,0.071185814,-0.32355784,0.394,0.402,1,0.361741721
Ube2g1,1.45E-09,-0.323311421,0.822,0.815,3.16E-05,0
Arhgap5,3.82E-05,-0.323261727,0.651,0.65,0.828741848,-0.471752683
a,0.260045811,-0.323085252,0.072,0.083,1,0.374577452
Ndufs5,0.879677205,-0.322999309,0.174,0.168,1,0
Tppp3,0.269341792,-0.322850399,0.056,0.045,1,0.351213767
Dzip1l,0.356231941,-0.322832758,0.292,0.291,1,-0.430088138
Sirt1,0.765265945,-0.322699208,0.173,0.158,1,-0.35184827
A430105J06Rik,0.219680557,-0.322684181,0.046,0.057,1,0
Sphkap,8.60E-15,-0.322586043,0.836,0.895,1.87E-10,0.475710056
Scg5,9.58E-07,-0.322417685,0.759,0.764,0.020795698,0
Kctd5,0.829987559,-0.322119988,0.117,0.111,1,0
Slco5a1,0.568480223,-0.321981945,0.143,0.146,1,-0.962278318
Cdip1,0.008212868,-0.321931913,0.609,0.579,1,0
Anp32b,0.563153681,-0.32176325,0.136,0.14,1,0
Zhx1,0.767411536,-0.321699951,0.07,0.072,1,0
Cfap20,0.464309087,-0.321514257,0.256,0.252,1,0
Alg12,0.868535125,-0.321351188,0.093,0.088,1,0
Bhlhb9,0.703624179,-0.321295958,0.177,0.176,1,0.83123311
Fam8a1,0.860524344,-0.32097235,0.24,0.219,1,0
Zfp746,0.680376295,-0.320913089,0.322,0.301,1,0
Ttl,0.145282907,-0.320857286,0.356,0.358,1,0
Nme7,2.94E-06,-0.320792856,0.77,0.766,0.063863427,0
Ctnnbl1,0.001861901,-0.320538978,0.498,0.516,1,0.384335979
Psmc1,0.013519784,-0.320467852,0.533,0.522,1,0
Slc39a13,0.200608222,-0.320366634,0.212,0.226,1,0.370233908
Rnf207,0.980611121,-0.320202204,0.064,0.062,1,0
Ccar1,3.32E-08,0.320115155,0.804,0.685,0.00072134,0
Mthfs,2.25E-05,0.32045743,0.466,0.359,0.489119783,0
Gmds,8.61E-11,0.320457435,0.906,0.842,1.87E-06,0.37037927
Cebpz,8.41E-08,0.32048015,0.612,0.463,0.001824855,0
Supt5,9.57E-05,0.320501763,0.745,0.632,1,0
Mtmr3,5.06E-13,0.320669327,0.856,0.708,1.10E-08,0.338441843
Atp13a1,7.54E-05,0.320816549,0.266,0.187,1,0
Zswim8,3.51E-06,0.320828179,0.62,0.479,0.07627311,0
Terb1,9.75E-05,0.320908978,0.152,0.095,1,0.937133072
Map2k2,1.32E-06,0.321131884,0.563,0.431,0.028610626,0
3300002I08Rik,2.80E-06,0.321256071,0.36,0.254,0.060719558,0
Gipr,0.007333787,0.321351009,0.076,0.048,1,-1.354432562
Ppih,0.565080975,0.321362149,0.103,0.093,1,0
Pip4k2b,4.83E-05,0.321488156,0.387,0.289,1,0
Fbxl20,1.91E-10,0.32171096,0.856,0.752,4.14E-06,0.357673391
Speg,9.56E-07,0.32172638,0.672,0.541,0.020748435,0
Hnrnpab,0.001281601,0.321870816,0.106,0.066,1,0
Farsb,1.25E-09,0.322018605,0.712,0.551,2.71E-05,0
Vps35,1.01E-08,0.322463388,0.493,0.344,0.000219442,0
Usp48,3.53E-09,0.32257444,0.722,0.565,7.67E-05,0
Yeats2,7.89E-09,0.322729498,0.717,0.571,0.000171233,0
Poldip3,8.34E-08,0.322948881,0.41,0.279,0.001809919,0
Cct6a,7.03E-05,0.32299834,0.258,0.179,1,0
Kat6a,3.66E-07,0.323090669,0.556,0.424,0.007935884,0
Ranbp3l,0.00400164,0.323155722,0.059,0.033,1,0.403612872
Ankrd52,4.07E-07,0.323189005,0.479,0.347,0.008841979,0
Lrsam1,2.04E-05,0.323489322,0.291,0.205,0.443068908,0.898920073
Mbp,5.76E-05,0.323968277,0.541,0.435,1,-0.676498177
Dcun1d5,2.76E-07,0.324269536,0.533,0.402,0.00598487,0
C230038L03Rik,0.00031468,0.324684247,0.121,0.074,1,0
Med13,3.38E-06,0.324849002,0.775,0.657,0.073333187,0
Rab43,3.43E-07,0.324903708,0.411,0.286,0.007451988,0
Eloa,0.001782662,0.325069646,0.106,0.067,1,0.429217187
6330562C20Rik,0.028581643,0.325224143,0.05,0.032,1,1.450935624
Dhdh,0.09078876,0.32523079,0.059,0.043,1,0
Ndel1,4.43E-09,0.325630548,0.594,0.435,9.61E-05,0
Acsl4,3.38E-07,0.326075472,0.562,0.427,0.007341821,0
Lrfn2,0.001648465,0.326135059,0.806,0.816,1,0.330967516
Mink1,3.71E-07,0.326146554,0.657,0.518,0.008053733,0
Bclaf1,5.31E-12,0.326293812,0.874,0.74,1.15E-07,0
A330102I10Rik,5.03E-10,0.326538811,0.886,0.82,1.09E-05,0
Micu1,2.00E-07,0.326566884,0.829,0.713,0.0043418,-0.365943515
Lrch3,2.04E-09,0.326762395,0.756,0.607,4.43E-05,0
Cep83,2.63E-08,0.326839395,0.851,0.764,0.00057165,-0.577378363
Tcirg1,0.001248233,0.326977772,0.07,0.039,1,-0.767935082
Ergic2,3.34E-08,0.32709602,0.541,0.398,0.000724187,0
Strn4,2.67E-08,0.32731423,0.692,0.533,0.000579639,0.481662231
Naaa,0.007553282,0.327343581,0.096,0.064,1,0
Ick,7.77E-06,0.327661432,0.32,0.222,0.168718819,0.590483331
Cenpo,0.009474584,0.327679393,0.104,0.071,1,0
Disc1,3.58E-06,0.327694357,0.196,0.119,0.077745636,0
Aamp,3.99E-05,0.327739469,0.302,0.214,0.865247442,0
Cnih1,0.000257784,0.327938635,0.18,0.12,1,0.48997321
E130102H24Rik,1.24E-08,0.327940441,0.683,0.542,0.000268348,0
Irgq,0.000138491,0.328154263,0.128,0.077,1,0
U2af2,1.93E-06,0.328453197,0.295,0.195,0.041989463,0
Mthfr,4.05E-07,0.328587323,0.373,0.255,0.008788211,0
Trappc11,1.41E-08,0.328589771,0.432,0.293,0.000305326,0
Prr14l,1.89E-10,0.328865549,0.803,0.675,4.09E-06,0.350384935
Huwe1,1.61E-11,0.328879371,0.923,0.847,3.50E-07,0
Fchsd1,0.000331973,0.328937417,0.087,0.048,1,-0.324560509
Ddi2,7.08E-09,0.328999225,0.655,0.507,0.00015377,0
Nfrkb,1.22E-09,0.329102161,0.549,0.384,2.66E-05,0
Lmnb2,0.030367714,0.329510927,0.098,0.072,1,0
Rpl4,0.000274002,0.329812794,0.142,0.09,1,0
Hnrnpc,2.60E-08,0.329917074,0.66,0.521,0.000565205,0
Prkcsh,1.70E-06,0.329925343,0.266,0.174,0.036871574,0
Utp18,4.62E-06,0.330333314,0.38,0.276,0.1003203,0
Rnf112,3.70E-08,0.330413345,0.834,0.706,0.000804188,0
Stx12,1.56E-07,0.330656724,0.479,0.344,0.003383414,0
Cnnm2,1.83E-07,0.330658965,0.713,0.592,0.00396912,0
Olfm1,1.55E-07,0.330827713,0.389,0.267,0.003366831,0
Micu2,2.08E-09,0.330844321,0.722,0.572,4.51E-05,0
Zfp131,3.37E-09,0.331007209,0.534,0.379,7.32E-05,0
Mcm3ap,8.97E-08,0.331035178,0.353,0.231,0.001947627,0
Ddx47,1.63E-08,0.3315755,0.378,0.243,0.00035444,0
Map6,1.48E-11,0.331940907,0.885,0.779,3.21E-07,0
Btbd8,7.90E-06,0.331993504,0.506,0.383,0.171451274,-0.344085491
Eloc,1.13E-07,0.33223836,0.306,0.193,0.002445206,0
Bap1,0.000435039,0.332285258,0.115,0.071,1,0
2210016L21Rik,9.29E-09,0.332729728,0.385,0.25,0.000201656,0
Rbm5,5.74E-10,0.333304135,0.882,0.78,1.25E-05,0
Tbc1d15,1.96E-06,0.33347508,0.432,0.321,0.042653326,0
Polr2c,4.04E-06,0.333509632,0.258,0.168,0.087736016,0
Zfp850,0.010736685,0.33352941,0.098,0.067,1,0
Numa1,6.33E-10,0.333726394,0.574,0.405,1.37E-05,0.384217105
Gys1,6.36E-07,0.333978892,0.611,0.467,0.013807657,0
Ezh1,1.15E-06,0.334046647,0.523,0.391,0.025048853,0
Slc39a2,3.04E-05,0.334191193,0.126,0.071,0.659964596,0.559195244
Cpa6,2.95E-05,0.334255714,0.17,0.105,0.6408141,0.410152918
Kremen1,0.000109068,0.334292063,0.16,0.102,1,0
Unc5a,3.55E-08,0.334642694,0.468,0.328,0.000771484,0
Adcy10,8.55E-07,0.334754888,0.369,0.253,0.018551519,1.107130029
Cttnbp2nl,1.74E-05,0.334975766,0.296,0.207,0.376993137,0
Zfp410,1.70E-06,0.334991179,0.381,0.269,0.03695718,0
Odr4,7.45E-07,0.335176239,0.364,0.251,0.016163649,0.384584618
Abracl,8.14E-05,0.33532946,0.133,0.079,1,-0.652145516
Nrbp2,1.03E-06,0.335437296,0.336,0.228,0.022328724,0
Iws1,1.88E-09,0.335474703,0.622,0.466,4.08E-05,0
Polr2a,0.011966032,0.335746778,0.347,0.286,1,0
Mrpl52,2.22E-05,0.335946513,0.22,0.144,0.482347717,0.368729712
Bnip2,1.64E-06,0.336285487,0.268,0.175,0.03557393,0
Mplkip,1.30E-07,0.336603355,0.265,0.162,0.002830983,0
Dixdc1,4.38E-07,0.336716057,0.535,0.407,0.00949735,0
Rnh1,0.0001091,0.336877075,0.12,0.069,1,0
Plekha6,1.49E-13,0.336927234,0.927,0.893,3.23E-09,0
Ogt,7.88E-17,0.337028674,0.944,0.839,1.71E-12,0
Srebf2,4.96E-09,0.337134601,0.75,0.615,0.000107739,0
Oga,1.38E-10,0.337337162,0.826,0.685,3.00E-06,0
Slc25a46,9.39E-09,0.337625384,0.531,0.38,0.000203753,0
Bace1,2.05E-07,0.337660233,0.361,0.243,0.004444031,0.392801849
Ecm2,0.00701062,0.337668848,0.091,0.06,1,0
Cnot1,1.67E-11,0.338655726,0.787,0.64,3.62E-07,0
Slc9a1,0.000274131,0.338790431,0.527,0.424,1,0
Golga2,7.97E-06,0.338935094,0.419,0.308,0.172927416,0
Znhit3,0.001555156,0.339072068,0.076,0.044,1,0
Rtf1,1.78E-09,0.339265695,0.701,0.547,3.87E-05,0
Eif4g3,7.69E-19,0.339285265,0.973,0.917,1.67E-14,0
Tpst1,9.01E-08,0.339298886,0.307,0.195,0.001955367,0.467499207
Dtx3,8.94E-10,0.339345385,0.528,0.363,1.94E-05,0
Get4,0.000249545,0.339463549,0.137,0.086,1,0
2010300C02Rik,1.32E-07,0.339541395,0.874,0.842,0.002870099,0.328836744
C230014O12Rik,0.006814823,0.339546958,0.094,0.062,1,0
Bms1,7.23E-09,0.339845952,0.663,0.493,0.000156971,0
Arpc1a,1.67E-10,0.339936826,0.647,0.469,3.63E-06,0
Sh3pxd2b,0.002901519,0.340000947,0.139,0.095,1,0.748982599
Thap4,2.15E-07,0.340691795,0.318,0.207,0.004677856,0.33958365
Dpysl5,0.000646575,0.340769538,0.284,0.211,1,-0.506265682
Gpatch2l,1.56E-06,0.340979838,0.539,0.409,0.033875083,0
Nrg1,2.30E-26,0.341336079,0.992,0.97,4.99E-22,0
A230057D06Rik,1.67E-15,0.341397157,0.978,0.937,3.63E-11,0
Syncrip,4.09E-08,0.341463564,0.555,0.421,0.000887624,-0.343492879
Gla,0.004186932,0.341838305,0.069,0.041,1,0
Tbc1d9b,6.56E-09,0.342010814,0.697,0.541,0.000142334,0.505434301
Cabp1,1.07E-13,0.342061095,0.924,0.845,2.32E-09,0
Chd4,1.03E-06,0.342175752,0.751,0.641,0.022458144,0
Zfand3,3.61E-15,0.342346159,0.905,0.817,7.83E-11,0
Srp72,6.66E-07,0.342490742,0.455,0.328,0.014465948,0
Cotl1,0.000281981,0.342740585,0.165,0.109,1,0.441654205
Adnp,8.17E-08,0.342756738,0.592,0.443,0.001773084,0
Med22,0.057545258,0.342763402,0.064,0.045,1,0
Dnah12,0.004502117,0.342799806,0.08,0.05,1,-0.482727624
Tmem62,1.89E-05,0.342873044,0.351,0.255,0.410349947,0
Tnfrsf21,1.46E-06,0.342922669,0.623,0.501,0.031633521,0
Vps37c,1.21E-08,0.34292776,0.341,0.212,0.000261961,0.390935054
Gorab,0.007275504,0.342927922,0.086,0.056,1,0
Hr,0.029871275,0.343230396,0.088,0.063,1,0
Zfx,3.63E-07,0.343308024,0.389,0.27,0.007885421,0
Pibf1,3.44E-12,0.343317642,0.856,0.714,7.46E-08,0
Zgrf1,0.015096974,0.343560929,0.126,0.093,1,-0.342121745
Adss,9.20E-08,0.343565259,0.644,0.501,0.001996863,0
1700037H04Rik,0.000630986,0.343587267,0.085,0.048,1,0.515014734
Pias1,2.94E-08,0.343976815,0.741,0.632,0.00063907,0
Dcp1a,2.70E-07,0.344282496,0.516,0.381,0.005852742,0.325866541
Sec23b,1.07E-07,0.344286412,0.34,0.221,0.002318732,0
Gda,2.13E-05,0.344315437,0.854,0.816,0.461498728,0
Taf2,1.82E-07,0.344476622,0.541,0.4,0.003959022,0
Lnpep,3.51E-10,0.34471351,0.771,0.631,7.63E-06,0
Slc22a5,1.41E-06,0.344821045,0.27,0.178,0.030640774,0
Snx17,0.000528548,0.345033775,0.136,0.088,1,0
Selenok-ps1,0.00058452,0.345049946,0.054,0.025,1,0
Arf2,0.004804358,0.345298214,0.145,0.104,1,0
Trip12,1.40E-18,0.34579809,0.926,0.842,3.04E-14,0
Mybbp1a,3.17E-07,0.345907526,0.248,0.152,0.00688516,0
Atp6v1b2,5.43E-11,0.345985998,0.849,0.71,1.18E-06,0
Riok2,2.28E-07,0.346094676,0.451,0.332,0.004951587,0.44006469
Rcor1,1.03E-07,0.346154725,0.634,0.492,0.002238799,0
Sec61a2,1.49E-12,0.346162236,0.855,0.75,3.24E-08,0
Crat,9.12E-07,0.346612117,0.364,0.252,0.019799954,0
Ciz1,0.000109613,0.346639696,0.429,0.328,1,0
Cep290,3.96E-10,0.347120102,0.752,0.579,8.60E-06,0
Ift88,1.19E-11,0.347315001,0.78,0.624,2.59E-07,0.341645855
Babam1,3.08E-05,0.347500351,0.32,0.228,0.668538616,0
Hacd2,4.95E-07,0.347667159,0.512,0.394,0.010740567,0
Lhfpl4,1.62E-06,0.347716925,0.392,0.278,0.035211681,0
Arl13b,8.08E-05,0.347726694,0.398,0.306,1,0
Col4a4,0.001213153,0.347797113,0.063,0.033,1,0.356538972
Adam19,0.012325536,0.347855238,0.408,0.35,1,0
Lpin1,2.53E-05,0.347861294,0.354,0.26,0.548166156,0
Larp4b,1.49E-11,0.347941645,0.841,0.701,3.24E-07,0
Srp19,5.77E-05,0.348372666,0.207,0.136,1,0
Arhgdia,0.000319224,0.348548847,0.14,0.089,1,0
L3mbtl3,4.37E-07,0.348662622,0.693,0.602,0.009477791,0
Vipas39,3.35E-07,0.348849289,0.47,0.335,0.007274691,0
Snx29,1.30E-09,0.348887499,0.837,0.721,2.83E-05,0.321556145
Nras,2.84E-06,0.348946935,0.209,0.129,0.061673316,0
Rrp1,3.71E-09,0.349108426,0.365,0.231,8.06E-05,0
Bri3,2.92E-05,0.349154229,0.346,0.255,0.633375847,0
Parp11,1.88E-06,0.349233668,0.193,0.115,0.04089964,0
Zfp704,7.60E-10,0.349244745,0.732,0.595,1.65E-05,0
Sec24c,3.07E-06,0.349247744,0.346,0.244,0.066581431,0
Npnt,0.02160867,0.349274813,0.144,0.11,1,-2.194119545
Rnf41,2.82E-07,0.349442571,0.396,0.27,0.006121282,0.39888915
Nsmce2,5.76E-11,0.349656983,0.859,0.755,1.25E-06,0.395009794
Bcl7b,0.00080535,0.349730634,0.193,0.136,1,0
Nop2,0.000114071,0.349871969,0.151,0.094,1,0
Tmem259,9.73E-06,0.350080895,0.311,0.215,0.211194543,0
Syne1,3.58E-09,0.35022627,0.98,0.967,7.76E-05,0
Gtf3c5,9.77E-06,0.350390475,0.16,0.094,0.212081081,0
Fmr1,1.15E-05,0.350416576,0.474,0.354,0.248663414,0
Rps6,0.000334326,0.350875711,0.136,0.086,1,0
Cops2,1.56E-07,0.350989332,0.391,0.269,0.003379574,0
Sbf1,4.27E-12,0.351043851,0.678,0.493,9.27E-08,0
Ccdc92,3.79E-07,0.35122597,0.404,0.285,0.008218442,0
Kif13b,2.66E-10,0.351252108,0.672,0.506,5.78E-06,0
Brox,3.38E-10,0.351264468,0.455,0.298,7.34E-06,0
Ube2d3,5.04E-10,0.351303834,0.659,0.492,1.09E-05,0
Gsn,0.001001507,0.351336036,0.14,0.093,1,0.395295682
B3galnt1,9.18E-05,0.351445482,0.213,0.144,1,0
Tmem35b,0.000711205,0.351530898,0.058,0.029,1,-0.654000675
Tspan31,0.000128699,0.351582489,0.099,0.055,1,0
Asap3,0.036309649,0.351760301,0.117,0.09,1,0
Fhl1,0.000664869,0.351985988,0.131,0.084,1,0
2900089D17Rik,0.001025178,0.352289496,0.093,0.055,1,-0.373518955
Srrd,0.06647523,0.352353274,0.065,0.047,1,0
Mrpl54,0.032054573,0.352488468,0.074,0.052,1,0
Gnb1,1.36E-14,0.35265826,0.835,0.683,2.94E-10,0
Hpcal1,0.21709145,0.352705804,0.054,0.042,1,-0.402000017
Ggnbp2,1.17E-13,0.353176517,0.847,0.685,2.53E-09,0
Btrc,8.08E-17,0.353323055,0.917,0.842,1.75E-12,0
Fam160b1,2.28E-06,0.353598623,0.34,0.233,0.049389453,0
Osbpl11,2.51E-07,0.353615453,0.448,0.32,0.00545224,0
Saraf,4.91E-09,0.353862458,0.472,0.326,0.000106486,0
Crkl,1.11E-07,0.353874089,0.308,0.198,0.002408409,0
Rbm3,6.98E-10,0.354035415,0.35,0.212,1.51E-05,0
Tra2b,4.91E-11,0.354342115,0.783,0.63,1.06E-06,0
Clec16a,2.92E-10,0.354383014,0.866,0.758,6.34E-06,0
Med27,1.24E-08,0.354420173,0.61,0.454,0.000269483,0
Ftl1,0.00475827,0.354548816,0.088,0.057,1,0
Vps4a,2.50E-05,0.354672613,0.21,0.136,0.54266865,0
Rffl,1.58E-06,0.354729389,0.231,0.144,0.034277571,0
Tcea1,6.37E-09,0.354877235,0.715,0.562,0.000138173,0.334093709
Afg3l1,6.24E-09,0.354909711,0.437,0.298,0.000135502,0
Patl1,1.91E-05,0.355232286,0.352,0.257,0.413560202,0
Rbm6,8.65E-26,0.355308394,0.977,0.922,1.88E-21,0
