812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
4930422M22Rik,1.50E-09,-1.824576822,0.036,0.104,3.27E-05,0
Sycp2,2.78E-65,-1.810714932,0.256,0.573,6.04E-61,0
5830444B04Rik,7.20E-05,-1.808599769,0.03,0.067,1,0
Kctd4,1.79E-07,-1.807285968,0.05,0.111,0.003886849,0
B230217J21Rik,1.60E-14,-1.806330801,0.056,0.161,3.48E-10,-0.440875401
Glrx,4.02E-13,-1.806324192,0.064,0.163,8.72E-09,0
4933407I08Rik,4.48E-19,-1.805059279,0.076,0.213,9.73E-15,0
Muc15,6.97E-20,-1.799195232,0.095,0.236,1.51E-15,-1.63280991
2900052L18Rik,4.06E-06,-1.798421157,0.021,0.062,0.088122777,0
Klhl10,9.38E-32,-1.78807558,0.202,0.407,2.04E-27,0.590237317
Mrpl18,6.26E-10,-1.78708096,0.041,0.114,1.36E-05,-0.328344813
Eps8l1,8.67E-16,-1.786977803,0.091,0.211,1.88E-11,0
2810432F15Rik,1.40E-11,-1.785889535,0.063,0.152,3.03E-07,0
Cpq,2.96E-09,-1.784741261,0.063,0.138,6.42E-05,-1.039624246
Nt5e,5.50E-07,-1.783200524,0.044,0.099,0.011937017,0
4930532G15Rik,4.03E-06,-1.779572231,0.018,0.057,0.08750561,0
Cthrc1,7.27E-21,-1.774560479,0.121,0.274,1.58E-16,0
Ccr9,4.92E-10,-1.773235038,0.039,0.112,1.07E-05,0
Necab3,5.65E-47,-1.768183415,0.221,0.491,1.23E-42,-0.681737606
St3gal6,3.42E-11,-1.767772603,0.053,0.137,7.41E-07,0
Dctd,1.21E-07,-1.767730678,0.031,0.086,0.002623731,0
Trim43c,2.78E-13,-1.766850948,0.069,0.172,6.04E-09,0
2310075C17Rik,3.70E-08,-1.766295453,0.037,0.098,0.000803598,-0.703861581
Ccdc177,3.34E-08,-1.759534394,0.034,0.093,0.000725939,0.346064103
Egfl7,3.20E-05,-1.755730778,0.041,0.084,0.695108808,0
Fbxl15,2.81E-11,-1.754425642,0.082,0.173,6.11E-07,0
Slc6a20b,1.26E-09,-1.754287491,0.067,0.146,2.74E-05,0
Comtd1,9.87E-07,-1.751332465,0.03,0.079,0.021434388,-0.352302746
Gabrd,3.33E-12,-1.749601574,0.072,0.168,7.22E-08,0
D630023F18Rik,1.73E-06,-1.748162581,0.021,0.064,0.037506204,0.526359695
Il1r2,2.39E-12,-1.746366927,0.054,0.146,5.19E-08,0
Pgp,1.98E-12,-1.746141628,0.077,0.176,4.30E-08,-0.408827857
C1qtnf4,1.68E-17,-1.745861542,0.139,0.271,3.64E-13,-0.450041592
5430431A17Rik,2.26E-08,-1.745833793,0.03,0.089,0.000489858,0.836431578
Appbp2os,1.97E-06,-1.745422643,0.029,0.076,0.042786083,0
Zfp536,1.95E-10,-1.744017471,0.065,0.149,4.23E-06,-2.069150927
Macrod2os1,1.96E-65,-1.743748346,0.343,0.632,4.26E-61,-0.446449276
Far1os,3.51E-86,-1.742471919,0.38,0.708,7.62E-82,-0.757503594
Mns1,3.14E-11,-1.741744981,0.076,0.167,6.82E-07,0.394737966
Rab3d,5.38E-05,-1.738838677,0.019,0.052,1,0.676346558
Nudt2,1.88E-05,-1.738770558,0.034,0.076,0.408909142,0
Olfr239,2.59E-25,-1.733978492,0.144,0.32,5.61E-21,-0.558511875
Lyn,1.46E-27,-1.732555166,0.185,0.375,3.17E-23,0.365799834
Oprm1,3.65E-69,-1.73205519,0.37,0.673,7.93E-65,-0.473149258
A830092H15Rik,2.63E-08,-1.728844147,0.05,0.117,0.000570037,0
Cd34,2.54E-11,-1.727502422,0.067,0.156,5.51E-07,0
Ncf2,0.000274958,-1.724508082,0.02,0.05,1,-0.885995743
1700047A11Rik,5.97E-06,-1.720465529,0.029,0.073,0.129566314,0
Pantr2,2.36E-12,-1.718487435,0.077,0.176,5.11E-08,-0.404415514
E130317F20Rik,0.000374042,-1.718152085,0.027,0.058,1,0.359752548
Ptger4,1.13E-15,-1.71702235,0.107,0.231,2.46E-11,0
