,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
Gm29371,0,0.001979469,0,0.003980372,0,0.002323589,0,0
Gm29374,0.02672415,0.204775156,0.112534184,0.435105205,0.281970817,0.034965437,0.044183542,0.114014912
Ecel1,0.091228641,0.811675552,0.707586585,1.259910771,1.255950313,0.110107319,0.272784496,0.668911829
Prss56,0.006966209,0.02069507,0.017238414,0.012536344,0.019326609,0,0.03393091,0.015528348
Chrnd,0,0,0,0.002436758,0.001113816,0,0,0
Chrng,0.005647564,0.00098925,0.002245345,0,0.004852403,0.002568103,0.003444437,0
Eif4e2,0.305633672,0.420812173,0.36988715,0.684893532,0.434816419,0.260339853,0.369257016,0.291504112
Efhd1,0.00357198,0.010658473,0.012934371,0.003680977,0.004301147,0.04769451,0.007761571,0
Gigyf2,1.534324285,1.704017206,1.706805839,1.690899776,1.529553705,1.635295117,2.289531563,1.387919422
Kcnj13,0.027385388,0.035143539,0.027997035,0.026197962,0.025150515,0.056963809,0.018130486,0.020597054
Snorc,0.002455011,0.000700339,0.002721158,0.001516494,0.003666079,0.002327951,0.003851961,0
Ngef,0.422758482,0.341760599,0.396866003,0.469990554,0.273059474,0.424491872,0.481195571,0.35009419
Neu2,0.040769871,0.048410499,0.061088887,0.092774724,0.027818333,0.059953363,0.04731295,0.047827195
Inpp5d,0.016052647,0.006361265,0.010579413,0.003791953,0.004606475,0.010269922,0.026237284,0.037460058
Atg16l1,0.733541733,0.703306007,0.645520043,0.667014323,0.54878157,0.758266958,0.842108789,0.61629442
Sag,0.092958308,0.073398919,0.067933911,0.076396474,0.065639171,0.142102718,0.823155175,0.092914242
Dgkd,1.657827331,1.689058058,1.51717795,1.721105528,1.157337699,1.329406818,1.57551442,1.38393464
Gm19582,0.002099418,0.001019589,0.001367021,0.000505005,0.001034868,0,0,0
Usp40,1.043226835,0.93582143,0.961791405,0.649335347,0.730041251,1.005617937,1.398434703,1.010177402
Gm20528,0.002843911,0.00427407,0.002109819,0.009201799,0.00516004,0.006730128,0.011148764,0
Dnajb3,0.00120507,0.002153781,0.004012931,0.004160209,0.001287908,0.006761668,0,0
Mroh2a,0.00231115,0,0,0,0.002713914,0.005701173,0,0
Hjurp,0.13165333,0.108229317,0.056256928,0.131987755,0.068463018,0.133645394,0.100543251,0.121111922
Trpm8,0.003473881,0.000934596,0.001134076,0.000807162,0,0.004819335,0.005976215,0
Gm29538,0,0,0,0,0.000634972,0,0.01520988,0
Glrp1,0,0.004839836,0.001561207,0.001059237,0,0,0.004252668,0
Gm19589,0.001313821,0.000388206,0.001013279,0,0.004154389,0,0,0
Arl4c,0.031255069,0.064482158,0.105473709,0.043535328,0.165653454,0.032854486,0.121350343,0.056671037
Gm29337,0,0,0,0.001201486,0.001900538,0,0.005872904,0
Sh3bp4,0.139246616,0.183894311,0.602887963,0.23000211,0.520134281,0.0941484,0.246595436,0.369446116
Gm28342,0,0,0,0.002940586,0.001296198,0,0.011555884,0
C030007H22Rik,0.000237849,0.002447671,0,0,0,0,0.003851961,0
Agap1,4.520407147,6.741619942,4.321301336,5.701138266,4.766620226,4.415784219,4.026207238,3.904026279
Gm28499,0,0.001114193,0,0,0.005237365,0,0,0
4933400F21Rik,0.080546134,0.096310884,0.050882369,0.06008541,0.063639267,0.079722074,0.055312279,0.02579197
Asb18,0.069229735,0.062535216,0.025090797,0.033118385,0.044822125,0.047217566,0.053831537,0.032815233
Iqca,0.002950274,0.004933377,0.002848764,0.002073281,0.005949976,0,0.006633011,0.011946234
Ackr3,0.006485758,0.004541394,0,0,0.001040337,0.002832641,0.002977786,0.002573544
Cops8,0.152622651,0.147992005,0.141328516,0.162465302,0.175099375,0.148771006,0.162847822,0.189685973
Col6a3,0.008257701,0.001915645,0.006031255,0.001340894,0.003378305,0.011870465,0.002597963,0
Mlph,0.002031479,0,0.005141523,0.001480471,0.003752587,0,0.009972245,0.011708073
Rab17,0,0,0,0,0,0,0,0
Lrrfip1,2.342845418,3.32838057,4.984556297,4.429125503,6.556635437,2.410623073,2.48683752,5.009802114
Rbm44,0.00190532,0.002191215,0.000893176,0.003067043,0,0.006183781,0.003291282,0
Ramp1,0.257696701,0.153600468,0.136798217,0.094137451,0.167232541,0.195113399,0.164862104,0.067041943
Ube2f,0.299623901,0.407139548,0.406166122,0.381368872,0.384672648,0.326455129,0.46882289,0.275518481
Scly,0.176754979,0.184387296,0.168864886,0.126455493,0.115734223,0.220214593,0.261548502,0.128937164
Gm17090,0.033291496,0.035892047,0.040098073,0.028686146,0.029896366,0.034792675,0.065831054,0.038017648
Espnl,0,0,0,0,0.000681701,0.007572602,0.003851961,0
Klhl30,0,0,0,0.001630566,0,0,0.003851961,0
Erfe,0.000276837,0,0.00033434,0.000600371,0,0,0,0.001790372
Ilkap,0.30678219,0.30574217,0.302259014,0.370869727,0.247355493,0.303239398,0.306088171,0.324982586
Hes6,0.018687035,0.017819584,0.008175999,0.009389125,0.013977942,0.024820915,0.025953199,0.025758596
Per2,0.035452328,0.022149102,0.022459702,0.007240893,0.001314044,0.05519315,0.038642409,0.016827382
Traf3ip1,0.18060165,0.163132636,0.140423174,0.130180571,0.185646127,0.196549249,0.1869226,0.104380131
Asb1,0.057864406,0.046323232,0.051837995,0.067254573,0.06119695,0.046657465,0.171603528,0.022234023
Gm28380,0.000245991,0,0.001948138,0,0,0,0.031331368,0
Twist2,0.002464255,0.004007345,0.008415744,0.001309026,0.00079157,0,0.004233871,0
Gm29101,0.000682865,0,0,0,0,0,0,0.004510698
Hdac4,1.363903514,1.132673089,1.607983454,1.242762859,1.147330227,0.961289723,1.763176017,1.328794717
Gm29099,0.001296946,0.005731354,0.00269992,0.003111508,0.001621729,0,0.004256342,0
Ndufa10,0.494149519,0.565555124,0.64536446,0.419334872,0.389954868,0.552777442,0.52295725,0.318335928
Cops9,0.055999633,0.024513354,0.033484129,0.027829671,0.020605389,0.04668703,0.040802792,0.028889803
Otos,0.005685875,0.001577561,0.000734085,0,0,0,0.007424663,0
Gm29483,0.003702441,0,0.002488212,0.00095482,0,0.027853503,0.018798551,0
Gm29481,0.020571501,0.02508077,0.015205658,0.015392857,0.019253157,0.012614233,0.04784279,0.01214044
Gpc1,0.131461085,0.091405501,0.125192572,0.098261847,0.092002892,0.066433451,0.114343589,0.121764104
Gm29480,0.020855889,0.023197335,0.018917101,0.014040063,0.027773639,0.044488862,0.027799414,0.024600901
Ankmy1,0.012619106,0.015609714,0.007357647,0.012734504,0.007616191,0.004344013,0.022313649,0.008361886
Dusp28,0.009691763,0,0.006209332,0.009299588,0.00277057,0,0.01309713,0.005247922
5033417F24Rik,0.018548302,0.007921247,0.005287125,0.012014209,0.008398177,0.011381933,0.004262656,0
Rnpepl1,0.145899552,0.138481003,0.105884902,0.100514628,0.140199799,0.09137409,0.126479692,0.174514862
9430060I03Rik,0.047440304,0.045879887,0.033305308,0.037143578,0.048111664,0.030765232,0.062445009,0.028671631
Capn10,0.184104261,0.154360961,0.171777674,0.152701728,0.156119458,0.167425154,0.163031727,0.145509642
Gpr35,0.029581753,0.017078928,0.013495738,0.042931491,0.017298801,0.043650673,0.027668962,0.02834295
Aqp12,0.000831707,0.004695464,0.001141123,0,0,0.0039633,0.002977786,0
Kif1a,2.631351473,2.95061909,4.216518098,2.872199552,3.283244178,1.986894567,6.039954829,3.068050763
Gm28086,0.000191189,0.001609214,0,0.001414018,0.000556056,0,0,0
Agxt,0.001191929,0.00465611,0.001598606,0.001311615,0.001980925,0,0.001986906,0
Mab21l4,0,0.000609608,0,0,0,0.002682763,0,0.007900954
Crocc2,0.006964158,0.007949364,0.004217836,0.005638616,0.013435555,0,0.019426246,0.015097642
Sned1,0.051197,0.060994771,0.069638218,0.047360472,0.063184916,0.170575169,0.088339584,0.047878827
Mterf4,0.051480663,0.033559797,0.061710507,0.063821543,0.070416222,0.041300575,0.079061813,0.076182121
Gm28535,0.018149248,0.007429643,0.004346602,0.006283549,0.007468753,0.030959121,0.010563565,0.004908973
Pask,0.043423826,0.050170382,0.068003858,0.062071605,0.078877011,0.046615285,0.042031436,0.07257844
Ppp1r7,0.289721601,0.30933787,0.309916704,0.286268182,0.26591494,0.307501708,0.305504983,0.361142504
Ano7,0.002660657,0.001781896,0,0.002806121,0,0,0.019643825,0
Hdlbp,0.78361225,0.733308355,0.728934784,0.714324988,0.715723231,0.677856619,1.005892428,0.66558795
2-Sep,0.056353457,0.065413727,0.104550026,0.128807951,0.104065749,0.082202829,0.048076649,0.064094136
Farp2,0.428534721,0.400432552,0.264112514,0.323789246,0.296814161,0.408157393,0.350862389,0.327346794
Stk25,0.383325726,0.366980164,0.448056837,0.36344313,0.402311937,0.372545523,0.54121388,0.313508325
Bok,0.007761924,0.017972503,0.013685365,0.023583481,0.012587893,0.005842956,0.007649624,0.013266843
Thap4,0.200724639,0.226543088,0.209157259,0.196047109,0.161447184,0.205629542,0.235356874,0.228091508
Gm10550,0.076647284,0.077262391,0.046256051,0.06330528,0.056125927,0.058625885,0.072378578,0.046763279
Atg4b,0.358736924,0.395220886,0.360088983,0.38131606,0.385858811,0.323521267,0.299582051,0.414485591
Dtymk,0.087162464,0.074815383,0.065784472,0.08249809,0.069258414,0.132765803,0.057507393,0.073395782
Ing5,0.05834896,0.057010321,0.069183251,0.058224186,0.04818825,0.057687134,0.067975161,0.040874573
D2hgdh,0.059285295,0.037575997,0.042085779,0.030461041,0.039724577,0.036315498,0.037267074,0.013611121
Gal3st2,0,0,0.002743954,0.004382513,0.00074344,0,0.032680183,0
Gal3st2b,0.000845324,0.000889745,0.001395251,0.001005046,0,0,0.004572401,0
Gal3st2c,0.00066316,0,0,0.000836384,0,0,0.009646876,0
Neu4,0,0,0.000619677,0.001853238,0,0,0,0
Fam174a,0.125820501,0.115277105,0.085554901,0.091081839,0.092455924,0.092416085,0.077708566,0.073525259
St8sia4,0.036227653,0.075330313,0.032502184,0.022800016,0.041723656,0.104792726,0.080844448,0.01502035
1700063A18Rik,0.000506878,0.000753774,0.003036774,0,0.002560764,0,0,0
Gm29601,0.000509294,0.001406361,0.000454805,0,0,0,0,0
4930533P14Rik,0.000991728,0.000801601,0.003293707,0.001232491,0,0.002253848,0.030831052,0.006691976
Slco4c1,0.289255833,0.152166112,0.16313203,0.187643668,0.155963136,0.26610097,0.231011481,0.223409091
Panct2,0.313836481,0.224368769,0.142017333,0.185632726,0.158115942,0.288774607,0.230443887,0.260918354
Slco6c1,0.027549487,0.024366329,0.003982839,0.011672402,0.021420042,0.036940653,0.006476606,0.040111734
D1Ertd622e,0.132643017,0.125757049,0.166205049,0.22459909,0.184885963,0.158453934,0.163245646,0.248091264
Ppip5k2,0.518925642,0.366325992,0.33198053,0.385050393,0.298184468,0.554538076,0.679009064,0.251949108
Gin1,0.1949862,0.169601213,0.139048311,0.178207208,0.192982965,0.132521276,0.138169783,0.170612302
Pam,1.089304372,1.358340386,0.845595558,1.059360274,0.847926473,1.394130006,1.086954406,0.714823803
B230216N24Rik,0.04017804,0.084797804,0.072022789,0.036432963,0.082774133,0.057468178,0.092642139,0.030067575
1810006J02Rik,0,0,0.00310453,0,0,0,0,0
Gm29461,0,0,0,0,0,0,0,0
Slco6d1,0,0,0,0.000899306,0.000580302,0,0.083964293,0.001723315
Gm7967,0,0,0,0,0,0.005637614,0.002294338,0
Cntnap5b,4.956224232,6.921283212,13.58638711,4.153737909,4.950850993,9.303947116,10.41024313,8.110494782
Gm20268,0.000361668,0.000654669,0.003639408,0,0,0,0,0
Cdh20,4.6714702,7.814508778,2.617030873,5.236787176,2.731226772,6.488640156,3.732617239,1.896245765
Gm15699,0.001595444,0.004855212,0,0,0,0.001485696,0,0.001328228
Gm29012,0.01241518,0.004245304,0.001611673,0.002181565,0.001059195,0,0.002825298,0.002656455
Rnf152,0.618137785,0.307891177,0.820154512,0.278159705,1.167093043,0.313805794,0.456268954,1.257467937
Gm17634,0.004314084,0.001316396,0.007379598,0.000725581,0.002021448,0.004252347,0.00431304,0.007858303
Gm28403,0.345238912,0.334593096,0.385360575,0.318968448,0.36173649,0.228956702,0.354481257,0.331078526
Pign,0.598908978,0.534151738,0.476362848,0.479486287,0.456758369,0.580802311,0.519282684,0.501396691
Gm28404,0.020990992,0.013471098,0.005692488,0.008860531,0.01657795,0.014037507,0,0.005832231
Relch,1.51659907,1.459541794,1.283051027,1.298712591,1.229296441,1.453969372,2.134886398,1.245479193
Tnfrsf11a,0.124111717,0.091248646,0.113088971,0.107296385,0.071574757,0.090452977,0.070214312,0.046612525
Gm7160,0.022011875,0.042000768,0.049362389,0.069547255,0.029929432,0.041687453,0.032890958,0.03027428
Zcchc2,0.209446917,0.246827877,0.23995106,0.284194247,0.270219252,0.172349707,0.184333767,0.24120269
Gm20753,0.001640963,0.001712819,0.006584046,0.000744182,0.009610854,0.014366129,0.007863799,0.00495569
Phlpp1,1.721881889,1.706716062,1.46755137,1.920441986,1.319825721,2.396803506,1.300017527,1.362917784
A530053M12Rik,0.000530338,0.000545025,0,0.000447366,0.001840541,0,0,0
Bcl2,0.201696869,0.13609192,0.087959925,0.057155647,0.055007744,0.227752381,0.14460866,0.135819485
D630008O14Rik,0.0008431,0.000815972,0.000548643,0,0.002055273,0,0.005018741,0
Kdsr,0.464247921,0.513203251,0.433467899,0.394815294,0.277432484,0.403008316,0.510734886,0.51029196
Vps4b,0.336831198,0.350863449,0.403115544,0.441485918,0.418966156,0.373275962,0.28224918,0.477201259
Serpinb5,0.006006309,0.005282084,0.044396151,0.021421129,0.033390325,0.007532136,0.020575048,0.042324036
Serpinb12,0,0,0,0,0,0,0,0
Serpinb13,0.000754991,0,0,0.00095482,0,0,0,0
Serpinb3b,0.009997181,0.005123563,0.018012786,0.009491498,0.008999974,0.006989573,0.008266224,0.011888113
Serpinb7,0.000971546,0,0.000687314,0,0.00157566,0,0.015801762,0
Serpinb2,0.000754991,0.009223728,0.032879847,0.010837027,0.023412073,0,0.008616381,0.001853221
Serpinb8,0.058170604,0.07952855,0.074728153,0.079094816,0.065690787,0.050486531,0.125219207,0.086773931
Gm15389,0.000585337,0,0,0,0.000621968,0,0.008551007,0
D830032E09Rik,0.000293084,0.000435317,0,0,0,0,0,0.018169677
Cdh7,0.428192629,0.212859245,0.135238295,0.119222213,0.088110069,0.872193062,0.292771397,0.165375917
Cdh19,0.035757677,0.106048178,0.032403388,0.245829472,0.029405837,0.317655745,0.020467647,0.017925467
Gm29088,0.189850399,0.149911139,0.232299848,0.191055242,0.115007112,0.072122698,0.12317402,0.357533062
Dsel,0.119981856,0.151841273,0.14940083,0.15866113,0.130509967,0.125019917,0.070646541,0.169100291
9330185C12Rik,0.000518265,0,0.002032768,0,0.00079157,0,0.01824002,0
Cntnap5a,11.77849771,5.205946537,2.851223874,4.098967584,1.632351708,10.30635275,7.45615192,3.998718066
Gm19965,0.010082398,0.009244431,0.005342171,0.006913056,0,0.010968106,0.017020318,0.020410195
Gm28363,0.000316527,0.000666685,0.002086986,0.000677794,0.003952551,0,0,0.004075644
Gm28360,0,0,0,0,0,0.002682763,0,0
Tsn,0.226050296,0.235395177,0.265454662,0.256947206,0.229451951,0.152964061,0.21157377,0.25531058
Nifk,0.067188875,0.052761281,0.059946864,0.048721549,0.04350456,0.030142264,0.083186236,0.024091645
Clasp1,2.855158381,3.253507931,2.957972537,2.965336249,2.889012521,2.574821713,3.241807651,2.703734933
2900060B14Rik,0.068237289,0.07492484,0.076844847,0.096173949,0.105522759,0.045948589,0.101000287,0.063661903
Tfcp2l1,0.014793769,0.022634732,0.027356674,0.0482282,0.049950797,0.047483993,0.034414863,0.032596392
Gli2,0.002611886,0.006513337,0.003923665,0,0.001891065,0.200688348,0.058804504,0
Gm29456,0,0,0.000452729,0,0,0,0,0
Inhbb,0.001189814,0.005793978,0.082546516,0.001549734,0.151221858,0.002183859,0.026619588,0.028524648
Ralb,0.087894965,0.101811193,0.130205703,0.185606195,0.184185951,0.089667691,0.082477924,0.085416123
Gm27184,0.002600333,0.005860499,0.004693247,0.009310414,0.009093849,0.003644622,0,0.016403969
Tmem185b,0.00229554,0.00786925,0.007673301,0.003193286,0.009432113,0,0.010387468,0.005594221
3830432H09Rik,0.000988583,0.000472633,0,0.001831268,0,0,0,0
Epb41l5,0.112733031,0.130846411,0.136012498,0.169974563,0.140867676,0.216844127,0.100700122,0.139582368
Ptpn4,2.2840045,2.373696444,2.11562103,2.194923496,1.806267334,2.255868221,2.313935265,1.817381398
Gm28209,0.001363326,0.001420518,0,0.002953917,0.001027153,0,0,0
Tmem177,0.019444555,0.023878106,0.006593129,0.01127904,0.010724513,0.008921122,0.021454723,0.025785225
Cfap221,0.019783501,0.020740587,0.040437813,0.029503536,0.016748946,0.040474694,0.013315393,0.022514616
Sctr,0.000814243,0,0.000366552,0,0,0.002788273,0.003291282,0.002335895
Dbi,0.055085027,0.09828688,0.080543791,0.114617116,0.050876651,0.117087063,0.096862178,0.057026102
3110009E18Rik,0.05615065,0.076054903,0.054545081,0.04778288,0.040007196,0.083489506,0.070499883,0.035430813
Steap3,0.00438172,0.005691941,0.002808952,0.006401488,0.010349077,0.016430391,0.011952429,0.006408704
2610027F03Rik,0,0,0,0.000870167,0,0,0,0
Gm29346,0,0,0,0,0.003418582,0,0,0.006783547
Gm29345,0,0,0.001084258,0,0.001300191,0.001902922,0.005042445,0
Gm29348,0.000214053,0,0,0.000740236,0,0,0,0
Celrr,0.062020294,0.117171301,0.048983961,0.028754811,0.059989522,0.15515237,0.05834633,0.050837726
Gm29359,0,0,0.000737178,0.001834713,0.001103533,0,0.0011677,0
Insig2,0.362281776,0.650089147,0.417934249,0.575412568,0.529166924,0.362679323,0.35548468,0.477561607
2210011K15Rik,0.001134819,0.002962606,0.002010171,0.001776346,0.001737102,0.002682763,0.008825069,0
Ccdc93,0.493547023,0.472185761,0.656372895,0.28521873,0.411507613,0.467794311,1.033535248,0.418892969
Gm15392,0.001267189,0.000937081,0.003137165,0,0,0.004426235,0.005543835,0
Htr5b,0.003895929,0.002268318,0,0,0,0.001186595,0.011313852,0.012727115
Ddx18,0.228134676,0.226707849,0.261803461,0.202978427,0.21048542,0.25995603,0.518672013,0.23535659
Gm28590,0.002267784,0.002185285,0,0,0.000544581,0,0,0
Dpp10,126.710362,88.70620153,51.68430931,30.08662895,43.97818058,93.91095914,71.6484554,87.91849707
1700121L03Rik,0.004437077,0.009809267,0.003187669,0.002810405,0.005373334,0.003332917,0.021536732,0.011896815
Actr3,0.604145346,0.683111878,0.562577007,0.897149467,0.599931405,0.610792503,0.550873071,0.569397098
Slc35f5,0.206729835,0.222223041,0.284537538,0.224787198,0.212925043,0.230880838,0.231435405,0.342725239
Gpr39,0.014314433,0.018122276,0.005439406,0.005121042,0.014244001,0.011965252,0.059320822,0.048443882
Lypd1,0.228925817,0.0579441,0.082673061,0.04952244,0.034611498,0.107674228,0.065625739,0.153210067
Nckap5,1.247854669,0.879107312,2.330693671,0.607546303,1.789841967,1.074707804,0.984950737,3.803287648
Mgat5,0.962058308,0.759310213,0.844652604,0.704958626,0.667604637,1.688746575,0.755656354,0.711939604
Tmem163,1.556746313,3.283736416,1.653347269,2.4388865,2.375614227,2.859992321,2.480843705,1.187186897
Acmsd,0.009878207,0.011170782,0.012420699,0.007679714,0.006683321,0.019250872,0.007054693,0.002710298
2900009J06Rik,0.113470069,0.106903235,0.109101042,0.086339085,0.0650658,0.106492196,0.15568522,0.126223641
Ccnt2,0.855945083,0.919405147,0.949738401,1.040227716,0.927471297,0.854663694,0.789966364,0.970411096
Map3k19,0.031397794,0.030456666,0.021592757,0.025301761,0.021677394,0.019954227,0.072441967,0.02463815
Rab3gap1,1.465230258,1.490505815,1.516311651,1.23073756,1.273019141,1.448064109,1.707964093,1.226949978
Zranb3,0.281583524,0.294466603,0.289315646,0.235870855,0.279057998,0.252000977,0.541350329,0.191433031
Gm28800,0.002374003,0.002967279,0,0,0.00034348,0.002500756,0,0
R3hdm1,8.241281285,12.78187577,10.72291773,9.806015403,10.18871924,8.34900298,8.497895766,13.01956014
Ubxn4,1.124330532,1.167853783,1.659223955,1.326975822,1.166955732,1.005984025,1.630167303,1.295493069
Lct,0.018306662,0.017577126,0.007599842,0.035752384,0.010421084,0.00439257,0.019799408,0.009411186
Mcm6,0.022091889,0.05082976,0.062804772,0.049484546,0.046987162,0.05615172,0.058010028,0.080621677
Dars,0.501728989,0.47299991,0.365440655,0.434352446,0.407700954,0.433602442,0.443570445,0.404276123
Gm26686,0,0,0.000690303,0,0,0.003592761,0.003851961,0.002015789
Thsd7b,0.102902984,0.052355956,0.047409393,0.037961431,0.038721082,0.160055625,0.11967561,0.054386873
Cd55b,0.007983117,0.007852758,0.001870715,0.005831012,0.002469031,0.005647053,0.012360793,0
Gm15674,0.00191571,0.002778249,0.000543543,0,0,0.002287137,0.005857789,0.003564887
Gm15675,0.030788552,0.040498379,0.004491738,0.020281669,0.0192802,0.068106396,0.014253004,0.020849615
Cd55,0.102773577,0.078598475,0.047902214,0.093289853,0.058163101,0.133587418,0.096145957,0.063132801
Gm16083,0.594386684,0.49255758,0.377262397,1.202780955,0.668787934,0.780335489,0.3935438,0.479394523
Zp3r,0.01535872,0.025449576,0.003401457,0.0140355,0.011171612,0.014217569,0.016693079,0.013990698
C4bp,0.011263443,0.008716145,0.008848424,0.008316182,0.012723758,0.00188977,0.006420251,0.013105643
Pfkfb2,0.278498088,0.316850683,0.258836842,0.242470666,0.261603438,0.31321047,0.312843771,0.300544423
Yod1,0.043955757,0.045987345,0.03729169,0.042033246,0.03592924,0.053373787,0.047940365,0.036960407
AA986860,0.016889384,0.022196927,0.016446243,0.037091896,0.020577096,0.020323662,0.012058904,0.022310975
Gm28856,0.000881513,0.002221317,0.000817384,0,0,0,0,0
Pigr,0.000637944,0,0,0,0,0,0,0.002908795
Fcmr,0,0,0.001744763,0.002384413,0,0.003630232,0,0
Il24,0,0,0.002177035,0,0.010918871,0,0,0.002153607
Il10,0,0,0.001542353,0,0,0.007342009,0.002724402,0.002240865
Mapkapk2,0.171284682,0.170793559,0.360388006,0.149654316,0.357671524,0.172560004,0.246890374,0.347742773
Dyrk3,0.056147486,0.056507447,0.097032006,0.034945766,0.074970823,0.045580367,0.069179957,0.119662357
Eif2d,0.249773981,0.194811671,0.212995013,0.213024171,0.202132159,0.282645958,0.198843437,0.209999526
Rassf5,0.283175207,0.225634188,0.38826902,0.206429947,0.241369435,0.189104544,0.319537722,0.359329563
Ikbke,0.006275085,0.00130407,0.014654957,0.012812604,0.011609928,0.041764291,0.0225946,0.002081114
Gm28914,0,0,0.000735348,0,0,0,0.011559758,0
Gm28913,0.000465963,0.000435317,0,0.004151276,0,0.001771762,0,0
Srgap2,1.496774427,1.583106267,1.828679226,2.38307294,2.36709462,1.799249676,2.149481075,2.763850681
Gm29488,0.018795337,0.033476621,0.015595624,0.026304269,0.031364602,0.005435153,0.005365842,0.026056055
Fam72a,0.002142253,0.003177673,0.005420436,0.009458788,0.015964794,0.005005548,0.015489762,0.002710298
Avpr1b,0.001405848,0,0,0,0,0.003747318,0.023904859,0.001790372
Ctse,0.000649822,0.001883742,0.000868734,0,0,0,0.002724402,0
Rab7b,0,0.001531023,0.002219988,0.008554239,0.001399445,0.002123796,0.004067562,0
Slc26a9,0,0,0.000398498,0.001536688,0,0,0,0
Pm20d1,0.000293543,0,0.001923669,0,0.000760017,0.003592761,0.00143302,0
Slc41a1,0.065833209,0.021703851,0.104665251,0.023443353,0.033954652,0.077477558,0.078348981,0.147700291
Rab29,0.006947164,0.000958739,0.00321336,0.008977222,0.005740596,0.008583783,0,0.040203973
Nucks1,0.332260506,0.299235169,0.371021885,0.283650821,0.278472316,0.376440848,0.671936828,0.520113098
Slc45a3,0.003087593,0.000870634,0,0.000759185,0.001705075,0,0.011952429,0
Elk4,0.126283597,0.174780972,0.190012836,0.22717473,0.192615694,0.090862034,0.125789304,0.231090294
Mfsd4a,0.707187722,0.404610458,0.353113188,0.22809721,0.218941868,0.481438723,0.524995878,0.364133849
Cdk18,0.047546266,0.06405837,0.124413275,0.063430675,0.11810994,0.017613168,0.062247876,0.235789083
Gm29629,0.002756995,0.001524654,0.003662504,0,0.00077178,0,0,0
Lemd1,0.00408964,0.000418053,0.000700928,0.003176711,0.00438411,0.023437082,0.023074654,0.004730092
Gm29695,0.003794501,0.00093187,0.003842664,0.000704571,0.001192644,0.002426964,0,0
Klhdc8a,0.000518265,0,0.001247949,0.001341129,0.002129818,0.003946713,0,0
Nuak2,0.003783103,0,0.001556146,0,0.000745451,0.011659428,0.001915922,0
Tmcc2,0.073188585,0.053681762,0.091970097,0.076489461,0.097558229,0.140333706,0.052002719,0.051773308
Gm15849,0,0.001090545,0.000398498,0,0.00191279,0,0,0
Dstyk,0.407671469,0.357092106,0.34959217,0.38388305,0.303378113,0.500319122,0.265012163,0.314035733
6030442K20Rik,0.088581778,0.064859758,0.074231107,0.070639669,0.067972498,0.067150763,0.050497172,0.040502917
Rbbp5,0.183379341,0.190641435,0.131845782,0.136133356,0.160220237,0.129967898,0.14807785,0.124470327
Tmem81,0.006860633,0.005047676,0.000959302,0.000790036,0.006221235,0,0.014142842,0.015300261
Cntn2,0.692587504,0.89001104,1.492425779,1.09635352,2.039150417,0.525636012,0.906727795,1.525406093
Nfasc,2.621208594,2.415352388,3.711423389,2.513485817,2.578459654,2.970121393,3.641004005,2.789068497
Gm10538,0.00891949,0.012485496,0.016705822,0.018968069,0.013110026,0.033462899,0.014606529,0.030325255
Lrrn2,0.839314755,0.8373707,0.648515712,1.201668164,0.59918084,0.697288403,0.608391349,0.61557748
Mdm4,1.173681067,1.148318748,1.209832917,0.940268966,1.086203587,1.184428659,1.387818408,1.279647551
Pik3c2b,0.176558093,0.126783296,0.101129649,0.095638469,0.074239602,0.277674674,0.219761708,0.034795989
Gm28609,0.015105759,0.006529233,0.004086705,0.006189662,0.003589861,0.019437737,0.017492627,0.002335895
Ppp1r15b,0.041982673,0.037291393,0.04158675,0.045663554,0.0458591,0.03325477,0.02464938,0.046723408
Plekha6,3.389746441,2.443631879,2.618593297,2.493609872,2.094506635,2.207760335,2.662926997,3.383926653
Gm19461,0.283828761,0.217181829,0.182478233,0.161228068,0.133537249,0.183999674,0.171758752,0.216452504
Gm28040,0.000734539,0.000470199,0.004808266,0.000995985,0.001653008,0.001693122,0,0
Etnk2,0.088737318,0.118671317,0.086474015,0.313729953,0.124222637,0.073322786,0.062524259,0.109067557
Sox13,0.004586399,0.002440657,0.002976313,0.013597504,0.008421676,0.024312829,0.012365454,0.003580745
Snrpe,0.044347072,0.046665507,0.050309886,0.030464827,0.061505003,0.112883385,0.042303011,0.07463978
Zc3h11a,0.052527333,0.054921054,0.058206531,0.067971794,0.043713481,0.034601638,0.06856523,0.078821414
Gm38394,0.022765487,0.021017234,0.02660666,0.032809854,0.036182288,0.013753586,0.031314153,0.020305448
Lax1,0.006194973,0.01239208,0.010350041,0.019729622,0.004684511,0.005365526,0.018360215,0.012397278
Atp2b4,0.344187645,0.314064771,0.798563463,0.600643808,0.285209204,0.1652063,0.458485235,0.793100015
Optc,0,0.002766865,0,0,0,0.002682763,0.001489633,0.00217167
Fmod,0,0.0009994,0.00387979,0.001941693,0,0,0,0
Btg2,0.093802215,0.135377185,0.06973126,0.169568941,0.077997561,0.090864309,0.117966401,0.053770797
Chit1,0.003300377,0.000653268,0.002027863,0.005696487,0.001368754,0.004984722,0.005573872,0
Chil1,0.008187028,0.037462694,0.032272055,0.058999709,0.036632499,0.062483206,0.029336145,0.017523973
Mybph,0,0.008580126,0.001104287,0,0.008602307,0,0,0
Adora1,0.309346155,0.330274062,0.503146346,0.398960747,0.433489925,0.206348045,0.332633463,0.544285538
