,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
Smg8,0.017465944,0.0194851,0.012985606,0.00894081,0.0208302,0.036336549,0.028412489,0.008082433
Prr11,0.001177624,0.005234873,0.000386662,0,0.004665157,0,0.012524621,0.002710298
Ska2,0.096677392,0.08205461,0.056639157,0.090356461,0.043209976,0.095056636,0.070096882,0.087209459
Gm11491,0.008662924,0.005465847,0.003399144,0.006448154,0.00354463,0.021490943,0.014738715,0
Trim37,1.50326178,1.399451005,1.408170108,1.236873638,1.04886354,1.474872036,1.382919558,1.194893761
Ppm1e,10.47621487,9.910626445,9.114002953,6.174928773,8.15389174,9.689231473,10.39219236,6.94351093
Rad51c,0.058000629,0.031207547,0.04177956,0.020388112,0.035974468,0.051529544,0.091461102,0.024924812
Tex14,0.111223681,0.266742875,0.279348022,0.225825261,0.502370433,0.144798422,0.714730835,0.238337623
4-Sep,0.825330233,0.607197631,0.462552372,0.488008707,0.562680954,1.075353485,0.663587618,0.260941318
Mtmr4,0.308638323,0.250113838,0.370334784,0.291453812,0.30844878,0.300457077,0.285707689,0.337558975
Hsf5,0.206154975,0.188080021,0.193758693,0.295680224,0.26693478,0.14372243,0.181189255,0.227809186
Rnf43,0.044176384,0.048025808,0.060124564,0.058871708,0.04104568,0.117806834,0.021448234,0.052699114
Supt4a,0.075175186,0.084420984,0.062629114,0.056421358,0.059680596,0.065824284,0.085784508,0.087088035
Mir142hg,0.015395895,0.003660435,0.002107386,0.011349205,0.009417268,0.000995711,0.003851961,0.002081114
Tspoap1,0.793338191,0.709162591,0.985310532,0.507743782,0.910962248,0.589633127,1.260448155,0.885038854
Mpo,0,0.001574886,0.003558972,0,0,0.002682763,0.003155883,0.002220484
Lpo,0,0,0,0.000770121,0,0.025073654,0,0
Mks1,0.046898287,0.046074668,0.03246079,0.029304688,0.053889541,0.047276707,0.060810315,0.02300702
Dynll2,0.09298149,0.094010852,0.10487245,0.0739595,0.083697754,0.100599661,0.11959613,0.049427666
Gm11508,0.226061639,0.249342806,0.224598801,0.334802731,0.307083505,0.246197647,0.223432247,0.289057732
Srsf1,0.370828518,0.295422015,0.289374859,0.198030558,0.29505002,0.280143011,0.307459365,0.275950116
Gm15892,0.085353432,0.116034153,0.07386565,0.069035467,0.096423567,0.088218149,0.055307264,0.116135409
Vezf1,0.119902535,0.124842708,0.126544812,0.097208317,0.141686464,0.175534924,0.108950742,0.147040599
Cuedc1,0.422776394,0.418453161,0.393365658,0.526722224,0.47241913,0.475480172,0.267698025,0.508228308
Mrps23,0.038450696,0.063092087,0.042150327,0.046326149,0.019685623,0.068281987,0.03431775,0.030545941
Gm38534,0.000853786,0,0,0.00065428,0,0,0,0.001764953
Msi2,2.316348583,2.709918854,2.487125248,2.299057113,2.431862212,3.851677648,3.382531432,2.24836831
Gm15893,0.003989226,0.006371942,0.005414624,0.003060816,0.001419779,0.015521231,0.008329679,0.008106658
C030037D09Rik,0.024529449,0.018863495,0.022074378,0.021544242,0.021266255,0.005986781,0.002977786,0.022558452
Akap1,0.183007266,0.173397315,0.212715088,0.184740219,0.208846566,0.235919974,0.169287994,0.198249229
