,RNA.IC_1d,RNA.IC_3d,RNA.IC_7d,RNA.Uninjured,Minimum,,14856
1700027H10Rik,0.005273851,0.006634747,0.030186801,0.047323275,0.005273851,,
1700027I24Rik,0.005453279,0.015097976,0,0.002182524,0,,
1700027J07Rik,0,0.00253826,0,0,0,,
1700028E10Rik,0.026425904,0.049559962,0.057395525,0.026093931,0.026093931,,
1700028I16Rik,0,0.001073429,0,0,0,,
1700028J19Rik,0.022035336,0.02239138,0.0196917,0.015229159,0.015229159,,
1700028K03Rik,0.03620554,0.024182869,0.163866952,0.095956733,0.024182869,,
1700028M03Rik,0.002129253,0.000289682,0,0,0,,
1700028P14Rik,0.012974687,0.015020158,0.021971461,0.024748542,0.012974687,,
1700029F12Rik,0,0,0,0.000727531,0,,
1700029H14Rik,0,0.00300226,0.009948805,0.007122392,0,,
1700029I15Rik,0.009277463,0.005237949,0.016630525,0.012922165,0.005237949,,
1700029J03Rik,0.015020273,0.000521498,0.006420867,0.01720785,0.000521498,,
1700029J07Rik,0.0640024,0.042293044,0.170032318,0.065980992,0.042293044,,
1700029N11Rik,0,0,0.004052883,0.000533257,0,,
1700030C12Rik,0.002868674,0.000698669,0.00599952,0.003557692,0.000698669,,
1700030E10Rik,0,0.00525224,0,0,0,,
1700030F04Rik,0.030136524,0.030052324,0.027138321,0.042886688,0.027138321,,
1700030J22Rik,0.0426251,0.046469745,0.076080666,0.066843983,0.0426251,,
1700030K09Rik,0.067786129,0.122808945,0.105996409,0.079259106,0.067786129,,
1700030L20Rik,0,0,0,0,0,,
1700030L22Rik,0,0.000247669,0,0.000538243,0,,
1700030M09Rik,0.003891357,0.004387058,0.003544088,0.015801454,0.003544088,,
1700030N03Rik,0,0.002976325,0,0.001459557,0,,
1700031A10Rik,0,0.000521498,0,0.002047098,0,,
1700031P21Rik,0.01740777,0.00200317,0.00932251,0.024114452,0.00200317,,
1700034G24Rik,0.009155989,0.000757763,0.001509753,0.006006455,0.000757763,,
1700034H15Rik,0.033128839,0.046708563,0.071048629,0.039459432,0.033128839,,
1700034I23Rik,0.00600159,0.005397348,0.060759044,0.046842068,0.005397348,,
1700034J05Rik,0.001554159,0.00100805,0.006507028,0.001344427,0.00100805,,
1700034K08Rik,0,0.001933877,0.011128819,0.000346617,0,,
1700034P13Rik,0.044762525,0.085786777,0.02546353,0.041187179,0.02546353,,
1700036A12Rik,0.007468408,0.009923392,0.023222959,0.009051929,0.007468408,,
