,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4
Hspbp1,0.20683884789719,0.162747460467646,0.196690704408606,0.206879756925306,0.179537966524899
Brsk1,0.399113247722964,0.383349725209359,0.294910215676329,0.317050858910877,0.338834827306918
Tmem150b,0.127521242310626,0.132586590335559,0.108815322286074,0.077426402215871,0.158870911490197
Kmt5c,0.0716769461434283,0.0964340118089486,0.135965692238116,0.050801171071071,0.0658884665622807
Fam71e2,0.00655542452216878,0.00319646598720455,0.00519688394838455,0.00290000324800364,0
Il11,0,0.00575198624980392,0,0.00559699813517745,0
Tmem238,0.00387578133491114,0.00945038044227555,0.0134480466549226,0.00178037348318856,0.0120132097254141
Rpl28,0.116817525221709,0.128620967160151,0.33418436634804,0.405533341611015,0.125458173228296
Ube2s,0.181717639868268,0.182186140198408,0.219712780909253,0.230298364002997,0.0843698542838129
Shisa7,0.300951972916578,0.210824052744505,0.256400946784059,0.146347856235918,0.10647649987482
Isoc2b,0.0615135408108743,0.0661398084587032,0.0430908304646806,0.106019324512897,0
Isoc2a,0.012446737999762,0.0174767286878705,0.0110098728364098,0.0183498880370547,0.0398242511694961
Gm36210,0,0.000932888905058963,0,0.00356969471970757,0
Zfp628,0.0127827209941304,0.00682998154329877,0.0058925025060022,0.00656245707986617,0.0120132097254141
Nat14,0.0339255575197491,0.0289871315539834,0.0261158375133405,0.0707990770461848,0.0716372236011156
Ssc5d,0.0194371173999909,0.0246896113847441,0.0341137635383048,0.00630960886635694,0.0308824129903676
Sbk2,0.0151278387545629,0.0135869412639494,0.00580838960569271,0.007179902010457,0.015416705850794
Sbk3,0.00735620508961909,0.006796590199467,0.0105980955026053,0.00116960103972854,0.0112610329970789
Zfp579,0.018303411568108,0.021839279370229,0.0172632973741062,0.0166830472325685,0.0251287271172648
Fiz1,0.0663515810006434,0.114388562508851,0.150754822955558,0.155466920055155,0.126316034379896
Zfp524,0.0184316968772479,0.0188604281438201,0.0277896371223866,0.00228630166927457,0.0756034134518004
Zfp865,0.0301407297390389,0.0367479317066723,0.0281754879413495,0.0561324681642903,0.0390385001939251
Ccdc106,0.141274987757721,0.119574901606323,0.219948852047996,0.250061986102197,0.0636112712497646
Zfp784,0.0205516646697436,0.0242184245248365,0.0199054321625452,0.0699907003878718,0.0934132465148968
Gm15510,0.026171379921398,0.0265861554690195,0.0267764770864487,0.0382472048232712,0.0135476572713663
Zfp580,0.0223732281333659,0.0133012304033361,0.0153616553639664,0.0222122283204768,0.0340641346485111
U2af2,0.185456787191493,0.192151715801156,0.197691120558784,0.209784847040976,0.322946044685518
Epn1,0.3844573826535,0.395335363379854,0.538194819698815,0.395855204132435,0.405904745873773
Rfpl4,0.000930368435204025,0.00394583492012512,0,0,0
Rasl2-9,0.00100634095435338,0.00192421274669444,0.00470851025560619,0.00229235609276156,0.0162951640841547
Vmn1r55,0.0138873947851022,0.0186168046506083,0.0145161167069506,0.00143112373553062,0
Nlrp2,0.000790410112190811,0.00089568254144547,0.00219456774257545,0.00103519679453383,0
Vmn1r58,0,0.00134666169299615,0.00280158188519566,0.00103519679453383,0
Vmn2r28,0.00400967808272295,0,0,0,0
Nlrp4c,0.00534843081436833,0.00273330332993151,0.00322674741279392,0.0151209286101493,0
Zfp787,0.050063911189863,0.0686821130823859,0.0730862868574266,0.0735502362278836,0.032281286215568
