,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
Gm7568,0.0340581494071254,0.0212696787495844,0.00979961548149221,0.00296398118340138,0.0238678306672402,0.0428346345814212,0.00837197487981531
Ube2w,1.4375031198883,1.36882967089536,1.54007907780762,1.45091857105505,1.33502431513281,1.40143193162336,1.12656212716617
Eloc,0.151376747184405,0.148119610991099,0.176921430452265,0.200486878565854,0.158722285830707,0.20702185681892,0.191126247343307
D030040B21Rik,0,0.0021074344809157,0,0,0.00486294317174271,0,0
Tmem70,0.101446978275783,0.0962566051014902,0.0604668338258383,0.080267330878727,0.0985059802009372,0.0583796199077658,0.0888633118715935
Ly96,0.0344012207274442,0.0433166185445967,0.0635137272960604,0.0984378037791271,0.0738149614633987,0.0956502098182954,0.12367674077384
Gm28376,3.26008706707856,3.20350182276464,0.851060259188643,0.887227380165406,2.93946762910089,1.36863135719275,0.778621675993962
Jph1,1.68241447839635,1.58013446358398,0.952346570274068,1.23299757881695,1.42940180282098,0.951584362614352,1.08922733407287
Gm28783,0.00530127550214246,0.00532057820498903,0,0,0.00415989474516097,0.00482991222600512,0.00550833990202867
Gdap1,0.583032612855787,0.594155910386682,0.507680800464211,0.415915598115128,0.52406763617516,0.658688940570044,0.38394561434923
Gm28784,0.0126037592711971,0.006903482873245,0.0219569390938513,0.0116613929724757,0.00253724678277108,0.0177518012001873,0.010664307020207
Pi15,0.00358195286131741,0.00406775819491251,0.00958459342213666,0.0100559077396362,0.00106673493770268,0.0159179871924022,0.0239656370600668
Gm28154,0.00131972224597722,0.00181798828285599,0.0111643315167893,0.0132669686111697,0.00750245061021528,0.0120432618072678,0
Gm16070,0.0348753478424938,0.0336369216591606,0.0445701721529576,0.0841505409281003,0.0556032253940537,0.0932171621302757,0.0240055261794658
Crispld1,0.0130557803190337,0.0275690262238232,0.00336392725712179,0.00604674100570839,0.0517771356481497,0.0341326136784582,0.0115203229719729
Gm28153,0.0595504651193528,0.059639277531692,0.0596726071806912,0.102393427012955,0.079465426620354,0.0839956967524346,0.0558357054853711
Gm28756,0.124910799690637,0.126344985034171,0.0726409946222619,0.0566773414666541,0.150448444269597,0.126025907099685,0.0934749566703575
Crisp4,0.000604427114310223,0.000805161147367518,0.000940881410178004,0.00259283247761219,0,0,0
Gm15825,0,0,0.00552316216657043,0.000970884060811905,0,0,0.0194944168221096
Tfap2d,0.00440527657126527,0.0011071977820614,0.000967329977730129,0.00288217246631821,0.00174023328871375,0,0
Tfap2b,0.00391989260260623,0.00116444963219694,0.00885115560839255,0.00172874204800267,0.0149467672246945,0.00183223136831405,0
Pkhd1,0.023692126080117,0.0408733760101464,0.0313775318175632,0.0623648345197575,0.0456144673028315,0.0417568242273469,0.0455280187063841
4930486I03Rik,0.00119962936251216,0.00200492068695453,0.00496406380986642,0.00168595682264577,0.00390999504212629,0,0.00898409635263656
Gm28653,0.000812531709049946,0.00182250214235127,0,0,0.00367362892821141,0,0
6720483E21Rik,0.00534578428603586,0.000774747327780254,0.0034189790632953,0.0064416472586597,0.00788911972002122,0.00298517710309458,0.00614403082828908
Paqr8,0.330004862773453,0.405733859924646,0.658805704138477,0.640893858341005,0.375266694027607,0.539638953997956,0.341259902835473
Efhc1,0.0183008118963011,0.014384421088285,0.0171343738579383,0.0134494040457644,0.00788616068880358,0.0271581866557704,0.0144154108012929
Tram2,0.00124183798976272,0.00624744089600506,0.00667828853818693,0.00129573272454627,0.00370396777878441,0.00183223136831405,0.0121279592186471
Tmem14a,0.0578739199199006,0.044225165377257,0.0199926226619133,0.0145997297850697,0.0798572440404124,0.0680456534163924,0.0158671503594157
Gsta3,0.0450457987970122,0.0454352118557864,0.020912557957126,0.0134282905911292,0.0347339621209222,0.0454874639486523,0.0155220850784405
Gm28836,0.0164343798590938,0.0132965736562239,0.00716519393130375,0.00084529796245998,0.0120218924776138,0.0166588048804441,0
Kcnq5,17.6996054471289,21.5671990797604,16.2360863272736,15.9711607346321,17.1179827932939,12.1689442025376,21.6928311260557
Rims1,8.56111576999466,7.69071608122446,5.67939082401211,7.27739701585944,7.86284463781727,5.0912888161585,5.02624332814119
Gm29506,0.00214670874971606,0.00413352385830591,0.00433827812247777,0.008598363584054,0.00514094620129073,0.00304950474518186,0
Gm29107,0.00276377569509482,0.0133215195134463,0.00111552288015514,0.00556978316830935,0.0136557941925146,0.00251214748918395,0.00317450642774062
Ogfrl1,0.270420493140036,0.219347575621437,0.16672887194672,0.186918700616372,0.235936586270323,0.202065373083619,0.221141471592635
B3gat2,0.351277055549327,0.349396589770076,0.150820657824348,0.094820166152338,0.389738405601562,0.236615999167688,0.123320621307789
Smap1,1.49217883108813,1.41841903727773,1.06285266724455,1.33375635623935,1.36580920505902,0.915559569273935,1.08044567818268
